# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	13972
#@/user_id	036845c7-2634-4d65-b057-ba3ac1d41d55
a 	啊	c=123 d=3.65055 t=13690
a bi 	阿鼻	c=0 d=0.1 t=11281
ai 	哎	c=18 d=1.14346 t=13862
ai 	愛	c=2 d=1.00487 t=9993
ai bo 	愛博	c=2 d=1.98511 t=4682
ai guo 	愛國	c=2 d=1.96561 t=8837
an 	安	c=1 d=1 t=11737
an 	按	c=0 d=0.1 t=11735
an ba 	俺爸	c=2 d=1.89583 t=9938
an ge 	安哥	c=1 d=1 t=3665
an hui 	安徽	c=1 d=1 t=12341
an hui 	安惠	c=2 d=1.90484 t=12340
an jing 	暗經	c=1 d=1 t=8495
an ma 	按媽	c=1 d=1 t=9910
an mei 	按沒	c=1 d=1 t=6427
an pai 	安排	c=2 d=1.00188 t=2818
an pai liang 	按排量	c=1 d=1 t=11736
an quan 	安全	c=2 d=1.84366 t=7158
an wei 	安慰	c=1 d=1.01873 t=8155
an wei ni 	安慰你	c=1 d=1 t=7821
an zhao 	按照	c=3 d=1.89583 t=8533
an zhuang 	安裝	c=1 d=1.00239 t=3092
an zhuang ban ben 	安裝版本	c=1 d=1 t=2346
an zhuang bao 	安裝包	c=3 d=1.9682 t=3102
ao 	熬	c=2 d=0.1 t=11307
ba 	吧	c=60 d=1.32957 t=13701
ba 	扒	c=1 d=1 t=12306
ba 	把	c=18 d=1.00034 t=13614
ba 	爸	c=16 d=1 t=12503
ba la ba la 	芭啦芭啦	c=1 d=1 t=5410
ba le 	罷了	c=1 d=1 t=916
ba ma 	爸媽	c=1 d=1 t=6169
ba si 	拔絲	c=1 d=1 t=1930
ba ta 	把它	c=1 d=1 t=4939
ba wo 	把握	c=1 d=1 t=659
ba xiu 	罷休	c=1 d=1 t=5299
bai bai 	白白	c=1 d=1 t=59
bai deng 	拜登	c=2 d=1.956 t=13320
bai du 	百度	c=1 d=1 t=403
bai he 	白盒	c=1 d=1 t=4835
bai lan 	擺爛	c=1 d=1 t=8541
bai tian 	白天	c=1 d=1 t=8645
ban 	版	c=2 d=0.100005 t=13823
ban 	班	c=1 d=1 t=163
ban 	辦	c=2 d=1 t=8763
ban ben 	版本	c=24 d=3.72037 t=11239
ban ben hao 	版本號	c=3 d=1.83946 t=11346
ban fa 	辦法	c=3 d=1.70469 t=11208
ban ge yue 	半個月	c=1 d=1 t=11402
ban gong 	辦公	c=1 d=1 t=8903
ban gong shi 	辦公事	c=2 d=1 t=10391
ban gong shi 	辦公室	c=2 d=1.0754 t=10909
ban hao 	搬好	c=1 d=1 t=7299
ban hao 	辦好	c=1 d=1 t=6404
ban jia 	搬家	c=1 d=1 t=11088
bang ding 	綁定	c=11 d=1.00996 t=8840
bang mang 	幫忙	c=2 d=1.2865 t=3945
bang ni 	幫你	c=1 d=1 t=12709
bang zhu 	幫助	c=1 d=1 t=3733
bao 	保	c=1 d=1 t=13284
bao 	包	c=14 d=3.66484 t=10540
bao 	報	c=2 d=1.00983 t=9896
bao 	寶	c=1 d=0.100001 t=5318
bao 	抱	c=1 d=1 t=8262
bao chi 	保持	c=4 d=2.55714 t=7696
bao cun 	保存	c=2 d=1.97531 t=2202
bao cun zhen 	保村真	c=1 d=1 t=2196
bao di 	保底	c=1 d=1 t=7210
bao gao 	報告	c=1 d=1 t=13569
bao guo 	包裹	c=0 d=0.1 t=4129
bao guo qi 	包裹器	c=1 d=1 t=4130
bao he du 	飽和度	c=4 d=3.70534 t=5110
bao jing 	報警	c=1 d=1 t=12181
bao ming 	包名	c=2 d=1.00003 t=5038
bao shan 	寶山	c=1 d=1 t=1893
bao she 	報社	c=1 d=1 t=7099
bao shi jie 	保時捷	c=1 d=1 t=1069
bao zheng 	保證	c=5 d=1.88275 t=13389
bao zhuang 	包裝	c=1 d=1 t=10344
bei 	倍	c=3 d=1.10709 t=7751
bei 	唄	c=7 d=1.04929 t=13709
bei 	被	c=7 d=1.97045 t=11681
bei cai 	北菜	c=1 d=1 t=6608
bei cai 	背材	c=1 d=1 t=6607
bei jing 	北京	c=1 d=1 t=12371
bei jing 	背景	c=3 d=1 t=10960
bei wo 	被我	c=2 d=1 t=12166
bei zi 	杯子	c=1 d=1 t=12028
bei zi 	被子	c=1 d=1 t=12027
ben ci 	本次	c=1 d=1 t=8064
ben di 	本地	c=2 d=1 t=10113
ben lai 	本來	c=4 d=1.00148 t=9697
ben shen 	本身	c=2 d=1.00014 t=2771
beng kui 	崩潰	c=2 d=1.00013 t=11632
bi 	比	c=9 d=1.00092 t=9752
bi bu guo 	比不過	c=1 d=1 t=10150
bi jia 	畢家	c=1 d=1 t=5032
bi jiao 	比較	c=9 d=1.06562 t=13845
bi jiao qi 	比較器	c=1 d=1 t=11483
bi jing 	畢竟	c=21 d=1.5024 t=13534
bi kou 	閉口	c=1 d=1 t=11995
bi li 	比例	c=1 d=1 t=13084
bi li 	比利	c=1 d=1 t=13083
